EPOCH,AMOUNT
216,167678
217,158785
218,174663
219,185540
220,154631
221,186192
222,6567562
223,9961120
224,4779575
225,11175124
226,7943094
227,6573002
228,6950997
229,6905342
230,10287337
231,7587697
232,7611135
233,6079602
234,7155453
235,5676372
236,8474758
237,6716919
238,7675413
239,7084060
240,7720319
241,6747312
242,6988489
243,8841751
244,6082217
245,9899298
246,7829882
247,9260936
248,7512005
249,8245583
250,9001891
251,7923909
252,8725264
253,9387581
254,7225568
255,8004909
256,6557088
257,7682515
258,7297798
259,7816047
260,9247251
261,7530458
262,7652554
263,7245620
264,9347832
265,5658614
266,6835548
267,6807089
268,7129628
269,6634185
270,7661403
271,7155557
