EPOCH,AMOUNT
215,2302158
216,11691645
217,11071558
218,12180259
219,12938745
220,10783293
221,12984242
222,11302727
223,17153223
224,8236410
225,19257533
226,13687928
227,11326919
228,11978298
229,11899622
230,17727642
231,13075491
232,13115881
233,10476668
234,12330627
235,9781801
236,14604117
237,11574923
238,13226648
239,12207598
240,13304031
241,11627298
242,12042906
243,15236538
244,10481173
245,17058954
246,13492835
247,15958897
248,12945054
249,14209192
250,15512499
251,13654867
252,15035802
253,16177138
254,12451452
255,13794451
256,11299494
257,13238885
258,12575923
259,13468994
260,15936334
261,12977683
262,13188097
263,12486804
264,16109669
265,9751823
266,11780102
267,11731057
268,12286909
269,11433083
270,13203346
271,12331592
