EPOCH,AMOUNT
212,523341424
213,543729513
214,526331523
215,413803420
216,482018123
217,689593538
218,758836166
219,442517253
220,368988894
221,444553854
222,386981915
223,587290547
224,281997489
225,659337745
226,468646081
227,387810061
228,410111931
229,407418236
230,606957461
231,447677531
232,449060387
233,358699242
234,422174943
235,334908464
236,500014481
237,396301202
238,452852821
239,417962687
240,455502265
241,398094432
242,412323980
243,521667259
244,358853502
245,584062992
246,461966516
247,546399342
248,443211650
249,486493090
250,531115594
251,467513521
252,516755999
253,475493
254,321913
255,750210
256,614270
257,235
258,743
259,1251
260,1479
261,1204
262,1224
263,1159
264,1495
265,905
266,1093
267,1088
268,1140
269,1061
270,1225
271,1144
