EPOCH,AMOUNT
220,20378266
221,24520683
222,21329511
223,32370080
224,15543050
225,36341173
226,25830689
227,21375194
228,22604422
229,22455951
230,33454092
231,24674951
232,24751170
233,19770673
234,23269307
235,18459380
236,27559642
237,21843206
238,24960201
239,23037137
240,25106232
241,21942045
242,22726345
243,28753094
244,19779175
245,32192202
246,25462527
247,30116269
248,24428802
249,26814375
250,29273864
251,25768300
252,28374282
253,30528114
254,23497318
255,26031711
256,21323441
257,24983294
258,23732209
259,25417536
260,30073689
261,24490376
262,24887452
263,23564031
264,30400792
265,18402808
266,22230403
267,22137850
268,23186805
269,21575538
270,24916228
271,23271128
