EPOCH,AMOUNT
211,1217203
212,1205592
213,557235
214,2379188
215,1092012
216,1919266
217,769285
219,974670
220,1058741
221,1273958
222,1108787
223,1682716
224,807984
225,1889147
226,1342773
227,1111160
228,1175060
229,1167342
230,1739066
231,1282694
232,1286656
233,1027752
234,1209623
235,959586
236,1432651
237,1135489
238,1297522
239,1197554
240,1305113
241,1140627
242,1181398
243,1494691
244,1028194
245,1673468
246,1323635
247,1565554
248,1269898
249,1393909
250,1521762
251,1339530
252,1474999
253,1586963
254,1221476
255,1353223
256,1108470
257,1298723
258,1233687
259,1321296
260,1563340
261,1273099
262,1293740
263,1224944
264,1580344
265,956645
266,1155617
267,1150806
268,1205335
269,1121575
270,1295236
271,1209718
