EPOCH,AMOUNT
212,5034094
213,5884239
214,5235490
215,4965367
216,4727667
217,6714556
218,7389417
219,7847833
220,6540470
221,7875429
222,6855527
223,10404072
224,4995691
225,11680415
226,8302240
227,6870200
228,7265286
229,7217566
230,10752478
231,7930775
232,7955273
233,6354491
234,7478987
235,5933028
236,8857943
237,7020624
238,8022457
239,7404365
240,8069393
241,7052392
242,5309894
243,6719885
244,4623715
245,7525466
246,5952291
247,7040181
248,4487622
249,4926863
250,5649138
251,4972478
252,5475145
253,5890753
254,4534079
255,5023120
256,2960495
257,6640015
258,6306190
259,4576667
260,5416775
261,4413291
262,4484844
263,4246355
264,5478373
265,3316277
266,4006028
267,969828
268,1117665
269,1041833
270,1203076
271,1123641
