EPOCH,AMOUNT
211,68141014
212,68031029
213,79519937
214,70807796
215,67154465
216,60213393
217,57064384
218,62817023
219,66728687
220,55612405
221,66963299
222,58291265
223,88463877
224,42477427
225,99316384
226,70592400
227,58416029
228,61775371
229,61369618
230,91426314
231,67433897
232,67642197
233,54031051
234,63592429
235,50447434
236,75317438
237,59695054
238,68213453
239,62957934
240,68612540
241,59965169
242,62108573
243,78579007
244,54054287
245,87977709
246,60200373
247,71209563
248,57770144
249,63411625
250,69227907
251,60937821
252,67100542
253,72194004
254,55567320
255,61560746
256,50426455
257,59081409
258,56122797
259,60108322
260,71119363
261,57915740
262,58854758
263,55725085
264,71892907
265,43519635
266,52571273
267,52352399
268,54833008
269,31637342
270,36550326
271,34151106
