EPOCH,AMOUNT
213,70565301
214,62786938
215,59502738
216,53352618
217,50562439
218,55659620
219,59125587
220,49275900
221,59333468
222,51649529
223,78384259
224,37637527
225,88000226
226,62549067
227,51760077
228,54736654
229,54377134
230,81009155
231,59750445
232,59935011
233,47874726
234,56346676
235,44699428
236,66735732
237,52893370
238,60441178
239,48957086
240,53359011
241,46638872
242,24781421
243,31375229
244,21596193
245,35149514
246,27801607
247,32882859
248,26672921
249,28488585
250,31102400
251,27378412
252,13490605
253,9158246
254,7062579
255,7828123
256,5712
257,11846
258,16671
259,17848
260,21113
261,17193
262,17472
263,14
264,33
265,29
266,36
267,35
268,37
269,34
270,40
271,37
