EPOCH,AMOUNT
211,7759204
212,7746680
213,9054920
214,6067
215,11490
216,16305
217,15444
218,16997
219,18055
220,15047
221,18119
222,15772
223,23936
224,11493
225,26873
226,19101
227,15806
228,16715
229,16605
230,24738
231,18246
232,18302
233,14619
234,17206
235,13650
236,20379
237,16152
238,18457
239,17035
240,18565
241,16225
242,16805
243,21262
244,14626
245,23805
246,18828
247,22270
248,18064
249,19828
250,21647
251,19054
252,20981
253,22574
254,17375
255,19249
256,15768
257,18474
258,17549
259,18795
260,22238
261,18109
262,18403
263,17424
264,22480
265,13608
266,16438
267,16370
268,17145
269,15954
270,18424
271,17208
