EPOCH,AMOUNT
211,112402960
212,112221533
213,131173221
214,116801987
215,110775453
216,99325726
217,94131239
218,103620575
219,82402102
221,72988226
222,70106018
223,145810411
224,69995924
225,163629086
226,116304825
227,96243598
228,101778297
229,101109798
230,150629846
231,111101028
232,111444214
233,89019108
234,104771999
235,83114903
236,124089593
237,98350861
238,112385390
239,103726635
240,111612033
241,97546276
242,101033867
243,127826812
244,87931719
245,143115959
246,113198031
247,133887041
248,72638613
249,79761646
250,87115731
251,76683522
252,84438598
253,90848155
254,69925316
255,77467377
256,63456107
257,74347407
258,70624322
259,75639664
260,89495838
261,72880541
262,74062192
263,70123845
264,90469258
265,54764639
266,66155122
267,65879693
268,69001265
269,64206318
270,74147828
271,69252200
