EPOCH,AMOUNT
212,3765265
213,8004178
214,15639960
215,14824670
216,13286055
217,12591238
218,13860561
219,14723668
220,12270863
221,14775436
222,12861953
223,19519533
224,9372634
225,21914136
226,15576196
227,12889482
228,13630720
229,13541191
230,20173194
231,14879273
232,14925234
233,11921938
234,14031654
235,11131214
236,16618774
237,13171699
238,15051282
239,13891653
240,15139340
241,13231300
242,13704241
243,17338439
244,11927065
245,19412260
246,15354190
247,18160449
248,14730842
249,16169369
250,17652469
251,15538575
252,17110011
253,18408796
254,14169147
255,15697415
256,12858275
257,15065207
258,14310789
259,15327060
260,18134773
261,14767972
262,15007413
263,14209376
264,18332019
265,11097100
266,13405183
267,12700350
268,13302492
269,12378500
270,14295148
271,13351307
