EPOCH,AMOUNT
219,107030369
220,89144294
221,107265207
222,93373992
223,141706118
224,68042589
225,159090237
226,113078641
227,93573885
228,98955057
229,98305101
230,146451507
231,108019183
232,73848713
233,35423585
234,41736323
235,33125292
236,49455635
237,39197507
238,44790936
239,41340009
240,69253534
241,79301148
242,82107526
243,103863209
244,40954354
245,66689814
246,52781786
247,62428581
248,29060545
249,31916171
250,34866486
251,30691175
252,33794996
253,36360304
254,27986322
255,31004894
256,25397140
257,29756183
258,28266087
259,30273385
260,35819064
261,20180
262,42439
263,64712
264,83446
265,50499
266,61003
267,60749
268,63627
269,59206
270,68373
271,63859
