EPOCH,AMOUNT
213,102807061
214,149533874
219,32444429
220,49211155
221,47632764
222,38317467
223,41143453
224,42783832
225,37096659
226,40078920
227,39907789
228,40734667
229,36947451
230,39661528
231,48106607
232,45775602
233,36551445
234,43021339
235,34128539
236,56305802
237,44623892
238,50989006
239,54535375
240,59428235
241,51933123
242,53789436
243,68053742
244,46813986
245,76193534
246,60265523
247,77821444
248,63119810
249,69279360
250,75633866
251,66576578
252,73309554
253,71756587
254,55234780
255,61197376
256,43873855
257,51409183
258,48840062
259,52308401
260,61890596
261,50400334
262,51217501
263,48493948
264,62563761
265,37872332
266,45749389
267,45558917
268,47717631
269,44401699
270,51276722
271,47891164
