EPOCH,AMOUNT
211,3628797924
212,3637690802
213,3490052230
214,4027339296
215,2945430226
216,2994828200
217,3493322682
218,3043145744
219,4015944313
220,4215241132
221,3236341769
222,3486762064
223,3839683483
224,3322190192
225,3193508919
226,3804660156
227,4800988579
228,3743710064
229,3388974645
230,5050347822
231,3725261286
232,3736767504
233,2984844852
234,3513045356
235,2786874595
236,4160771692
237,3297742134
238,3768325255
239,3477993905
240,3790372081
241,3312664145
242,3431072514
243,4340951004
244,2986128499
245,4860164760
246,3844163069
247,4546754143
248,3688098158
249,4048256102
250,4419573455
251,3890326714
252,4283760517
253,4608931817
254,3547468995
255,3930094796
256,3219271438
257,3771811681
258,3582931174
259,3837370754
260,4540325723
261,3697394250
262,3757342075
263,3557540819
264,4589709499
265,2778333666
266,3356198552
267,3342225441
268,3500589807
269,3257331351
270,3761686559
271,3513320311
