EPOCH,AMOUNT
211,18813725
212,18779269
213,7462138
214,22654166
215,18925545
216,16959481
217,16074247
218,17694692
219,12450
220,20198
221,37322
222,32473
223,49271
224,23658
225,55316
226,39317
227,32536
228,34407
229,34181
230,50921
231,37558
232,37674
233,30093
234,35419
235,28097
236,41949
237,33248
238,37992
239,35065
240,38215
241,33398
242,34592
243,43766
244,30106
245,49001
246,38757
247,45841
248,37184
249,40815
250,44558
251,39222
252,43189
253,46468
254,35766
255,39623
256,32457
257,38028
258,36123
259,38689
260,45776
261,37277
262,37882
263,35867
264,46274
265,28011
266,33837
267,33696
268,35293
269,32840
270,37925
271,35421
