EPOCH,AMOUNT
212,138528496
213,161922838
214,144074199
215,138105331
216,123829723
217,117352768
218,129183059
219,137227387
220,114366779
221,137709867
222,119875848
223,181925754
224,87354727
225,204243908
226,145173104
227,120132425
228,127040904
229,126206475
230,188017999
231,141700897
232,143608951
233,114707989
234,135005794
235,107099166
236,159897823
237,126731728
238,144816166
239,133658777
240,147646512
241,129037056
242,133648154
243,169090013
244,116316565
245,94302553
246,74652630
247,88348532
248,71663785
249,8447374
250,9194963
251,8142297
252,8965717
253,9646236
254,7424654
255,8225468
256,6737755
257,7894191
258,7498874
259,8031402
260,9502648
261,7738439
262,7934954
263,7556879
264,9749296
265,5901611
266,7129086
267,7099405
268,7435796
269,6919077
270,7990406
271,7462837
