EPOCH,AMOUNT
213,64684980
214,57554801
215,54544279
216,48906658
217,46348990
218,51021414
219,55478034
220,46235320
221,55671398
222,48461714
223,73546375
224,35314535
225,82568843
226,58688532
227,48565440
228,51358303
229,51020971
230,76009261
231,56062641
232,56235816
233,44919893
234,52868953
235,41940575
236,62616796
237,49628785
238,56710743
239,52341453
240,57042533
241,49853352
242,51635317
243,65328372
244,44939211
245,73142188
246,57852050
247,68425570
248,50468327
249,55400906
250,60487770
251,53244315
252,58628977
253,63079380
254,48551846
255,53788590
256,44060024
257,51622274
258,49037193
259,52519538
260,62140414
261,50753205
262,51575981
263,48833239
264,63001493
265,38137309
266,46069478
267,45877673
268,48051491
269,44712359
270,51635484
271,48226239
