EPOCH,AMOUNT
211,3635732445
212,3632969769
213,2047129429
214,3385439541
215,3898859965
216,3864858190
217,3156527354
218,2663418412
219,4739714680
220,4295364757
221,3777003961
222,4010900730
223,3719388522
224,4478269222
225,3242885161
226,3277443988
227,2867189493
228,3606360031
229,3611521672
230,4799071500
231,3079556634
232,3736474331
233,2984463070
234,3512149553
235,2786164322
236,4159711573
237,3296901905
238,3767365127
239,3477107750
240,3789406335
241,3311820114
242,3430198314
243,4339844977
244,2985367665
245,4858926442
246,3843183618
247,4545595680
248,3687158471
249,4047224650
250,4418447396
251,3889335501
252,4282669061
253,4607757512
254,3546565139
255,3929093450
256,3218451202
257,3770850665
258,3582018282
259,3836393034
260,4539168898
261,3696452194
262,3756384745
263,3556634396
264,4588540091
265,2777625777
266,3355343429
267,3341373879
268,3499697894
269,3256501418
270,3760728122
271,3512425155
