EPOCH,AMOUNT
211,160331379
212,160072592
213,187105246
214,166606144
215,158010094
216,141678204
217,134268788
218,147804376
219,157008267
220,132676631
221,167626490
222,145914921
223,221436780
224,106326619
225,248602052
226,176702120
227,146223051
228,154631930
229,153616277
230,228852165
231,168795968
232,169317371
233,135246872
234,159180265
235,126276604
236,188529516
237,149424620
238,170747301
239,157592042
240,171746269
241,150100754
242,164867537
243,208579567
244,87712635
245,95314334
246,75481874
247,89303375
248,72438300
249,40065913
250,43778995
251,23424866
252,25806920
253,27781227
254,21383037
255,23689376
256,19404756
257,22735295
258,21596782
259,23130464
260,27367656
261,22286730
262,22648076
263,21443737
264,27665326
265,16746922
266,20230109
267,20145884
268,21100455
269,19634169
270,22674264
271,21177190
