EPOCH,AMOUNT
211,76142375
212,76488930
213,91069915
214,52815406
215,94414890
216,64454239
217,66577704
218,89990331
219,78555267
220,69724006
221,68157755
222,75797921
223,71498621
224,69720308
225,85752280
226,78048662
227,70014614
228,71563394
229,78667308
230,77151775
231,74708398
232,77293490
233,79562099
234,76093933
235,103851866
236,89124020
237,76553051
238,67853682
239,74596178
240,50515435
241,75598065
242,82071270
243,87975457
244,60523023
245,98518002
246,77923119
247,92164987
248,74759600
249,82060182
250,89586971
251,78858874
252,86833975
253,93425360
254,71908976
255,79664993
256,65256247
257,76456515
258,72627812
259,77785430
260,92034680
261,74948036
262,76163209
263,72113137
264,93035714
265,56318217
266,68031828
267,67748586
268,70958711
269,66027740
270,76251274
271,71216765
