EPOCH,AMOUNT
211,35768982
212,35711248
213,41742073
214,37168845
215,35251117
216,31607569
217,29954572
218,32974282
219,35027615
220,29192391
221,35150769
222,30598594
223,46436979
224,22297501
225,52133741
226,37055778
227,30664086
228,32427491
229,32214501
230,47992039
231,35397798
232,35507140
233,28362297
234,33381184
235,26481062
236,39535922
237,31335359
238,35806870
239,33048123
240,36016361
241,31477149
242,30316120
243,38357731
244,26387468
245,42947728
246,33969643
247,40178216
248,32590547
249,35773148
250,39054361
251,31878664
252,35104760
253,37772029
254,29072916
255,32208684
256,26383205
257,30911363
258,29363419
259,31448644
260,37209615
261,30301486
262,30792780
263,29155336
264,37614333
265,22769451
266,27505263
267,27390749
268,28688602
269,26695011
270,30828258
271,28792815
