EPOCH,AMOUNT
211,5123970
212,7293209
213,9046855
214,5613095
215,4520907
216,6380001
217,10954708
218,14225971
219,9662710
220,10557459
221,7523667
222,11441731
223,12755333
224,13899233
225,4604949
226,6654978
227,3929347
228,9819501
229,7714378
230,6213403
231,835790
232,6173627
233,7394
234,17865
235,21334
236,3166407
237,4327564
238,2552920
239,5379876
240,2221565
241,2253550
242,18076
243,545448
244,596001
245,993301
246,707093
247,1120086
248,945389
249,475178
250,405230
251,466794
252,2262375
253,3417978
254,2629133
255,2912013
256,2385329
257,2794735
258,2654784
259,2843312
260,440954
261,361450
262,78979
263,302
264,709
265,471
266,569
267,566
268,593
269,552
270,637
271,595
