EPOCH,AMOUNT
211,1756840
213,3737718
215,2207002
216,4532100
217,1710194
218,2292457
219,1457405
220,2099173
221,1991104
222,1970808
223,1613874
224,2090979
225,1599056
226,1915981
227,1857410
228,2075260
229,1957696
230,1506724
231,1861361
232,1957739
233,2068637
234,1430333
235,1764569
236,1951588
237,1916670
238,1571943
239,1521888
240,1843550
241,1748968
242,2091868
243,2609267
244,2443542
245,2149573
246,1595515
247,1844634
248,1774466
249,1592274
250,1446289
251,1991888
252,2192930
253,2358660
254,1815448
255,2011261
256,1647491
257,1930258
258,1833597
259,1963809
260,2323552
261,1892174
262,1922853
263,1820603
264,2348825
265,1421837
266,1717564
267,1710414
268,1791458
269,1666968
270,1925077
271,1797973
