EPOCH,AMOUNT
223,8699016
224,9736415
225,14192190
226,11459411
227,6842624
228,3981292
229,13334149
230,10251077
231,13429142
232,9647311
233,13253913
234,14015037
235,10759312
236,9916818
237,9186839
238,9937514
239,10301477
240,7348988
241,13663404
242,10638415
243,13748582
244,11362904
245,7960935
246,10169339
247,3931484
248,9656163
249,9146618
250,9732065
251,9934972
252,12847237
253,10876769
254,7495843
255,11511743
256,7461939
257,8410894
258,8943345
259,10013935
260,8426722
261,8555081
262,9450777
263,11225295
264,9409465
265,8137762
266,5509025
267,12274321
268,5540053
269,9024053
270,10423485
271,9732470
