EPOCH,AMOUNT
211,134458200
212,140558931
213,164296168
214,146291062
215,138743172
216,124402711
217,117896761
218,129781890
219,137863507
220,114896928
221,138348223
222,120431534
223,182769074
224,87759662
225,205190684
226,145846056
227,120689301
228,127629804
229,126791507
230,188889560
231,139320491
232,139750846
233,111629803
234,131383901
235,104225940
236,155608130
237,123331805
238,140931079
239,130073017
240,141755605
241,123889872
242,128318210
243,162346631
244,111677810
245,181764635
246,143767327
247,170043434
248,137930677
249,151400174
250,165286867
251,145493659
252,160207622
253,172368648
254,132671182
255,146980939
256,120396978
257,141061336
258,133997426
259,143513168
260,169802860
261,138280144
262,140522153
263,133049714
264,171652152
265,103907873
266,125519644
267,124997059
268,130919783
269,121822075
270,140684632
271,131395896
