EPOCH,AMOUNT
226,7731475
227,6394912
228,6755324
229,6710962
230,9997764
231,7374115
232,7396893
233,5908470
234,6954038
235,5516590
236,8236206
237,6527847
238,7440720
239,6867462
240,7446846
241,6508330
242,6740988
243,8528615
244,5866811
245,9548708
246,7552582
247,8932954
248,7245963
249,7953561
250,8683084
251,7643279
252,8416254
253,9055114
254,6969670
255,7721411
256,6324864
257,7410434
258,7039342
259,7539237
260,8920324
261,7264227
262,7382005
263,6989458
264,9282599
265,5619010
266,6787574
267,6759315
268,7078128
269,6586265
270,7606063
271,7035721
