EPOCH,AMOUNT
211,9361330
212,9357006
213,12120925
214,3509345
215,4776126
216,5397197
217,12386076
218,5217563
219,6489387
220,6209975
221,8605541
222,11630556
223,6711505
224,9457707
225,10316942
226,8498631
227,9333297
228,8813129
229,11830089
230,7514322
231,10781005
232,9420177
233,8235686
234,7321757
235,8427870
236,11189998
237,11974527
238,11321754
239,6016604
240,9597401
241,9987552
242,8886647
243,8929557
244,8207973
245,9328081
246,9998097
252,8383297
253,9011912
254,6931180
255,7678780
256,6289948
257,7369525
258,7000482
259,7497617
260,8871080
261,7224125
262,7341253
263,6950873
264,8967568
265,5428425
266,6557482
267,6530181
268,6839600
269,3237571
270,3741181
271,3496431
