EPOCH,AMOUNT
212,14121381
214,17485073
215,16580945
216,14854107
217,20777378
218,22866495
219,24285223
220,20239571
221,24370618
222,21214518
223,32195537
224,15459231
225,36145197
226,25691393
227,21259925
228,22482524
229,22334854
230,33273686
231,24541887
232,24617696
233,19664056
234,23143823
235,18359835
236,27411023
237,21725413
238,24825599
239,22912906
240,24970843
241,21823719
242,22603789
243,28598038
244,19672513
245,32018600
246,26835945
247,31739663
248,25744244
249,28258278
250,30850207
251,27155875
252,29902184
253,32171996
254,25270767
255,27995974
256,22932023
257,26867965
258,25522502
259,27334966
260,32342367
261,26337864
262,26764893
263,25341638
264,32694145
265,19795077
266,23912247
267,23812687
268,24941001
269,23207833
270,26801263
271,25031704
