EPOCH,AMOUNT
211,339277083
212,338729464
213,395933238
214,352555106
215,334365013
216,299805116
217,284126058
218,312768703
219,332245048
220,276896593
221,333413192
222,290234753
223,440465508
224,211496963
225,494500611
226,351482643
227,290855959
228,307582270
229,305562010
230,16256368
231,12208463
232,12463268
233,9955029
234,11716529
235,9294642
236,13876794
237,10998461
238,12567926
239,11599628
240,12641456
241,11048228
242,11443138
243,14477718
244,9959183
245,16209374
246,12820857
247,15164103
248,12300357
249,13501537
250,14739936
251,12974819
252,14286980
253,15371474
254,11831338
255,13107452
256,10736750
257,12579554
258,11949609
259,12798203
260,15142663
261,12331361
262,12531296
263,11864929
264,15307365
265,9266157
266,11193422
267,11146820
268,11674989
269,10863685
270,12545785
271,11717447
