EPOCH,AMOUNT
212,5065022
213,6734720
214,8319280
215,477010
216,431802
217,414131
218,455872
219,484256
220,403584
221,485958
222,423025
223,641990
224,308262
225,720748
226,512295
227,423930
228,448309
229,445365
230,663489
231,489374
232,490885
233,392108
234,461496
235,366101
236,546585
237,433212
238,495031
239,456891
240,497927
241,435172
242,450727
243,570255
244,392277
245,638462
246,504993
247,597290
248,484492
249,531804
250,580583
251,511058
252,562742
253,605458
254,466018
255,516282
256,422904
257,495489
258,470676
259,504101
260,596446
261,485713
262,493588
263,467341
264,602933
265,364979
266,440891
267,439056
268,459859
269,427903
270,494159
271,461532
