EPOCH,AMOUNT
211,75221972
212,75100558
213,87783351
214,78165876
215,74132905
216,66470544
217,62994301
218,69344733
219,73662882
220,61391438
221,73921875
222,64348675
223,97656712
224,46891522
225,109636970
226,77928098
227,64486404
228,68194836
229,67746919
230,100926994
231,74441375
232,74671321
233,59645755
234,70200716
235,55689742
236,83144144
237,65898340
238,75301940
239,69500287
240,75742498
241,66196525
242,68562663
243,86744644
244,59671406
245,97120023
246,76817397
247,90857180
248,73698772
249,80895760
250,88315745
251,77739879
252,85601814
253,92099668
254,70888599
255,78534559
256,64330271
257,75371608
258,71597235
259,76681667
260,90728722
261,73884535
262,75082464
263,71089862
264,91715551
265,55519070
266,67066467
267,51980201
268,54451451
269,50676874
270,58523514
271,54659478
