EPOCH,AMOUNT
215,1780741
216,1595284
217,1510675
218,1662968
219,1766523
220,1472239
221,1772734
222,1543157
223,2341923
224,1124514
225,2629224
226,1868808
227,1546460
228,1635393
229,1624651
230,2420349
231,1785192
232,1197
233,2379
234,4034
235,3198
236,4774
237,3784
238,4324
239,3991
240,4349
241,3801
242,3937
243,4981
244,3426
245,5577
246,4411
247,5217
248,4232
249,4645
250,5071
251,4464
252,4915
253,5288
254,4070
255,4509
256,3694
257,4328
258,4111
259,4403
260,5210
261,4242
262,4311
263,4082
264,5266
265,3188
266,3851
267,3835
268,4016
269,3737
270,4316
271,4031
