EPOCH,AMOUNT
213,76460387
214,68032213
215,64473649
216,57809742
217,54786470
218,60309474
219,64064990
220,53392451
221,64290237
222,55964376
223,84932548
224,40781799
225,95351841
226,67774471
227,56084159
228,59309402
229,58919847
230,87776730
231,64742049
232,64942034
233,51874223
234,61053926
235,48433657
236,72310893
237,57312128
238,65490487
239,60444760
240,65873643
241,57571460
242,59629303
243,75442266
244,51896531
245,84465787
246,66808488
247,79018960
248,60499708
249,66410711
250,72505899
251,60038476
252,61949256
253,66659388
254,51309955
255,56844178
256,46562955
257,54554797
258,51822864
259,55503031
260,65670444
261,53478437
262,54345511
263,51455622
264,66384722
265,40185312
266,48543444
267,41917441
268,43907202
269,40860092
270,47186738
271,44071219
