EPOCH,AMOUNT
215,77714939
216,69621244
217,65928757
218,72575100
219,77094446
220,64251340
221,77365503
222,67346339
223,102206021
224,49075949
225,114744376
226,81558355
227,67490484
228,71371672
229,70902889
230,105628649
231,77909204
232,78149862
233,62424335
234,73470995
235,58284033
236,87017390
237,68968195
238,78809858
239,72737938
240,79270940
241,69280270
242,71756635
243,90785617
244,62451181
245,101644330
246,80395912
247,95089735
248,77132008
249,84664266
250,92429908
251,81361368
252,89589549
253,96390104
254,74190923
255,82193068
256,67327077
257,78882773
258,74932571
259,80253860
260,94955293
261,77326424
262,78580159
263,74401563
264,95988093
265,58105410
266,70190738
267,69898508
268,73210503
269,68123053
270,78671018
271,73476746
