EPOCH,AMOUNT
211,3642946515
212,3638693779
213,3682266674
214,5404880152
215,1803736305
216,4589375518
217,2665216049
218,3429756866
219,3393394243
220,4350313207
221,4500461738
222,3455956315
223,4051423155
224,3614374613
225,2757654205
226,3805443982
227,3728671781
228,3245112322
229,2859428163
230,3649115941
231,3831842289
232,4437785916
233,3175159276
234,3328583763
235,3619800163
236,4043178739
237,2662792070
238,3375018967
239,3237728484
240,3313493102
241,5263309112
242,3017918910
243,3309706856
244,3399454187
245,3674877831
246,3254016709
247,3974409316
248,3993347003
249,3346260142
250,6489126499
251,4266254390
252,3745011807
253,3082036720
254,3780433354
255,2743638408
256,4751468439
257,4744826347
258,3669265664
259,3835757402
260,4539271846
261,3696598260
262,3756532608
263,3556774345
264,4588720645
265,2777735074
266,3355475458
267,3341505358
268,3499835604
269,3256629558
270,3760876102
271,3512563365
