EPOCH,AMOUNT
221,586988
222,510596
223,774418
224,371850
225,869422
226,617970
227,511378
228,540786
229,537234
230,800352
231,590321
232,592144
233,472991
234,556692
235,441620
236,659334
237,522574
238,597145
239,551138
240,600639
241,524939
242,543702
243,687886
244,473195
245,770163
246,609163
247,720498
248,584432
249,641504
250,700345
251,616478
252,678823
253,730351
254,562147
255,622780
256,510140
257,597697
258,567767
259,608086
260,719480
261,585905
262,595405
263,563743
264,727305
265,440267
266,531838
267,529623
268,554718
269,516171
270,596093
271,556736
