EPOCH,AMOUNT
214,2456231
215,2327752
216,2085326
217,1976272
218,2175500
219,2310970
220,1925987
221,2319095
222,2018763
223,3063711
224,1471092
225,3439559
226,2444780
227,2023083
228,2139425
229,2125373
230,3166307
231,2335393
232,2342607
233,1871221
234,4346682
235,3446942
236,5144754
237,4077628
238,4659501
239,4300509
240,4686762
241,4096080
242,4242491
243,5367548
244,3692321
245,6009551
246,4753274
247,5622022
248,4560301
249,5005633
250,5464764
251,4810355
252,5296832
253,5698904
254,4386414
255,4859528
256,3980601
257,4663812
258,4430263
259,4744875
260,5614073
261,4571795
262,4645920
263,4398868
264,5675135
265,3435385
266,4149910
267,4132632
268,4328448
269,4027661
270,4651292
271,4344190
