EPOCH,AMOUNT
211,244441
212,243169
213,356931
214,871730
215,19825178
216,10216609
217,9164758
218,8415443
219,5299147
220,10631980
221,7554722
222,12529382
223,14965629
224,2316732
225,12567167
226,6532212
227,6767992
228,16566008
229,14537517
230,17876502
231,17535546
232,13772270
233,16535470
234,12848241
235,14204288
236,12185258
237,8823311
238,2245748
239,23256341
240,5886038
241,12830077
242,11017191
243,13558054
244,14458766
245,16532993
246,16731842
247,13685912
248,11891
249,26243
250,40402
251,10878935
252,11969730
253,13314943
254,10248189
255,11353238
256,9312278
257,1415920
258,1351863
259,1453873
260,1720191
261,1401540
262,1424264
263,1348526
264,1739781
265,1053159
266,1272205
267,1266908
268,1326938
269,1234728
270,1425910
271,1331764
