EPOCH,AMOUNT
211,1533140786
212,1530666179
213,1789161209
214,1593142125
215,1510943899
216,1356395612
217,1285458317
218,1415043522
219,1503159361
220,1252749163
221,1508444339
222,1313094214
223,1992775514
224,991794613
225,2353222046
226,1672550470
227,1384045541
228,1463638209
229,1454024757
230,2166155304
231,1597705148
232,1602640259
233,1280152653
234,1506689478
235,1195246347
236,1784489039
237,1414349339
238,1616174981
239,1491656467
240,1625630516
241,1420749153
242,1471532626
243,1861764937
244,1280702978
245,2084447299
246,1648700347
247,1950030475
248,1581766591
249,1736232600
250,1895484702
251,1668499199
252,1837236695
253,1976496795
254,1521298625
255,1685384233
256,1380554314
257,1617506006
258,1525142558
259,1633457164
260,1932695145
261,1573881766
262,1599232952
263,1514191924
264,1953512814
265,1176638494
266,1421372102
267,1415460655
268,1482529293
269,1379507283
270,1593105964
271,1487920646
