EPOCH,AMOUNT
211,3547496
212,3541770
213,4139895
214,3686332
215,3496135
216,3134775
217,5588289
218,6149513
219,6530421
220,5442526
221,6553386
222,5704694
223,8657547
224,4157068
225,9719632
226,6908549
227,5716904
228,6045668
229,6005958
230,8947467
231,6599441
232,6619826
233,5287767
234,6223495
235,4937055
236,7370967
237,5842077
238,6675733
239,6161400
240,6714789
241,5868512
242,6078276
243,7690161
244,5290041
245,8609968
246,6810082
247,8054749
248,6533607
249,7171641
250,7829444
251,6891863
252,7588846
253,8164900
254,6284477
255,6962314
256,5703063
257,6681909
258,6347300
259,6797549
260,8042770
261,6549595
262,6655787
263,6301857
264,8130249
265,4921563
266,5945198
267,5920446
268,5864627
269,5457291
270,6302513
271,5886388
