EPOCH,AMOUNT
236,697719520
237,552616280
238,631128101
239,582503304
240,634821423
241,554813649
242,574644992
243,727033819
244,500124605
245,813993096
246,643830478
247,761502267
248,617692318
249,678012512
250,740201713
251,651562086
252,717455407
253,771915946
254,594139379
255,658222548
256,539171994
257,631712878
258,600078677
259,642692883
260,760425619
261,619249252
262,629289471
263,595826234
264,768696542
265,465322584
266,484628624
267,482678995
268,505592821
269,235961935
270,272671172
271,254837633
