EPOCH,AMOUNT
213,22180394
214,19735465
215,18703161
216,16770029
217,15893007
218,17495176
219,18584614
220,15488617
221,18649955
222,16234706
223,24638084
224,11830392
225,27660617
226,19660697
227,16269454
228,17205065
229,30843075
230,45935875
231,33871046
232,33975685
233,27139014
234,31941555
235,25339015
236,37830858
237,29983960
238,34262629
239,31622858
240,34463085
241,30119635
242,31196236
243,39469097
244,27150685
245,44189928
246,34952167
247,41340314
248,33533183
249,36807836
250,40182941
251,27422977
252,30203187
253,32503925
254,25018080
255,27716495
256,22703503
257,26600223
258,25268167
259,27062570
260,32020071
261,26075403
262,26498178
263,25089105
264,32368344
265,19593845
266,23669164
267,20352082
268,21318223
269,19838824
270,22910604
271,21397925
