EPOCH,AMOUNT
221,21149937
222,18397441
223,27903253
224,13398232
225,31326391
226,22266267
227,21967219
228,23226427
229,23071006
230,34370386
231,28865757
232,28952564
233,25085954
234,29523494
235,23419439
236,34964955
237,486795
238,30186250
239,29892092
240,32556156
241,28451625
242,29468618
243,37283336
244,25647106
245,41742733
246,33016550
247,38758748
248,31439371
249,35605563
250,38870345
251,34214841
252,37675034
253,40534868
254,31199460
255,34564597
256,28313012
257,33172521
258,31511345
259,33749103
260,39931487
261,32518031
262,33045263
263,31288041
264,40365810
265,24435030
266,29517265
267,29394374
268,30787165
269,28647743
270,33083472
271,30899128
