EPOCH,AMOUNT
219,78019442
220,64981446
221,78190627
222,68064671
223,103296218
224,49599426
225,115968315
226,82428311
227,68210382
228,72132970
229,71659187
230,106755354
231,78740235
232,78983460
233,63090195
234,74254685
235,58905729
236,87945575
237,69703855
238,79650496
239,73513808
240,80116497
241,70019259
242,72522038
243,91753997
244,63117327
245,102728536
246,81253468
247,96104025
248,77954749
249,85567351
250,93415827
251,82229222
252,90545170
253,97418265
254,74982292
255,83069794
256,68045232
257,79724188
258,75731851
259,81109900
260,95968149
261,78151239
262,79418347
263,75195179
264,97011966
265,58725200
266,70939439
267,70644092
268,73991414
269,68849699
270,79510175
271,74260497
