EPOCH,AMOUNT
213,305687
214,271991
215,991426
216,888376
217,1400958
218,1541734
219,2364090
220,1969878
221,2952673
222,2569919
223,3899688
224,1872501
225,4378092
226,3111874
227,2575111
228,2723199
229,2705312
230,4030280
231,2972640
232,2981822
233,2381812
234,2457208
235,1121127
236,1674796
237,1328085
238,36694
239,34982
240,39087
241,34160
242,35380
243,44763
244,30792
245,50117
246,1008249
247,1191857
248,965894
249,1060219
250,899154
251,791643
252,455342
253,490290
254,377634
255,418364
256,342696
257,401515
258,381408
259,408493
260,483324
261,786256
262,798708
263,618507
264,798084
265,483190
266,583688
267,581258
268,608800
269,566494
270,654208
271,611014
