EPOCH,AMOUNT
211,249895
212,249491
213,291625
214,259675
215,246277
216,220822
217,209273
218,230370
219,244715
220,203948
221,245576
222,213773
223,324425
224,155778
225,364225
226,258885
227,214230
228,226550
229,225062
230,335290
231,247302
232,248065
233,198149
234,233214
235,136
236,365
237,440
238,503
239,464
240,505
241,442
242,457
243,579
244,398
245,648
246,513
247,606
248,492
249,540
250,589
251,519
252,571
253,615
254,473
255,524
256,429
257,503
258,478
259,512
260,605
261,493
262,501
263,474
264,612
265,370
266,447
267,446
268,467
269,434
270,502
271,468
