EPOCH,AMOUNT
215,2365376
216,2119032
217,2006645
218,7113397
219,7552904
220,6291949
221,7576186
222,6595040
223,10008751
224,4805871
225,11236598
226,7986783
227,6609155
228,6989229
229,6943323
230,10343920
231,8624567
232,8650540
233,6909062
234,8131696
235,6450819
236,9630998
237,10183591
238,11635179
239,10736549
240,11700861
241,10226181
242,10591707
243,13400498
244,9218166
245,15003309
246,13513551
247,15982264
248,7927468
249,12662206
250,13825135
251,12166834
252,13397283
253,14414245
254,11094564
255,12291210
256,10068139
257,11796186
258,11205470
259,12001220
260,14199683
261,11563449
262,11750933
263,11126063
264,14354128
265,8689124
266,10496373
267,10452673
268,8930466
269,8311091
270,9599344
271,8965543
