EPOCH,AMOUNT
211,55371444
213,66939683
214,59604269
215,56486545
216,52573291
217,49822445
218,54843544
219,58258695
220,48553423
221,58463528
222,50892251
223,77235000
224,37085691
225,86709978
226,61631981
227,51001178
228,53934113
229,53579863
230,79821409
231,58874392
232,59056252
233,47172793
234,55520528
235,44044051
236,65757262
237,52117854
238,59554998
239,54966572
240,59903428
241,52353683
242,54225021
243,68604834
244,47193080
245,76810541
246,60753547
247,71857368
248,58287081
249,63979054
250,69847232
251,61482981
252,67700835
253,72839864
254,56064435
255,62034235
256,45436
257,94144
258,48728942
259,61043533
260,72349673
261,58912483
262,59867591
263,56684063
264,73130119
265,50741256
266,36597
267,83389
268,121415
269,112928
270,130390
271,121781
