EPOCH,AMOUNT
211,27093852
212,27050121
213,30871104
214,27489391
215,22258597
216,19960949
217,18919567
218,20826837
219,22123738
220,18438161
221,22201523
222,19120783
223,32445775
224,15578289
225,36421110
226,25887510
227,21422215
228,22654147
229,22505350
230,25281247
231,24480017
232,25324622
233,26067917
234,9285662
235,9397126
236,27618575
237,21880818
238,24996447
239,23070604
240,25142709
241,21973924
242,22759364
243,28794869
244,19807913
245,32238974
246,25499521
247,30160025
248,24464294
249,26651230
250,29095951
251,25127134
252,24211766
253,26053155
254,20055127
255,22218245
256,18012454
257,20987069
258,19936345
259,21352186
260,18783120
261,15300316
262,15552356
263,14725333
264,17754952
265,10748323
266,12922391
267,12868643
268,13478431
269,12541805
270,14483740
271,13435048
