EPOCH,AMOUNT
213,3258464
214,2899286
215,2747633
216,2463641
217,2334800
218,2570171
219,2730217
220,2397167
221,2886346
222,2512458
223,3812952
224,1830853
225,4280715
226,3042659
227,2517836
228,2662629
229,2645141
230,3940638
231,2906522
232,2915500
233,2328835
234,2740948
235,2174375
236,3246317
237,2572964
238,2940122
239,2713600
240,2957324
241,2584606
242,2676991
243,3386896
244,2329837
245,3791997
246,2999292
247,3547468
248,2877527
249,3158530
250,3448239
251,3035310
252,3342275
253,3595980
254,2767806
255,3066338
256,2511739
257,2942842
258,2795474
259,2993993
260,3542452
261,2884780
262,2931553
263,2775664
264,3580983
265,2167711
266,2618573
267,2607671
268,2731230
269,2541435
270,2934943
271,2741162
