EPOCH,AMOUNT
213,71377471
214,58386315
215,121289451
216,67558611
217,45082551
218,79123272
219,84044256
220,70027005
221,84320042
222,73400247
223,111393542
224,53487493
225,125058997
226,88889813
227,73557350
228,77787427
229,77276504
230,115123837
231,84912632
232,85174923
233,68035794
234,80075462
235,63523311
236,94839572
237,75167896
238,85894248
239,79276509
240,86396777
241,75508024
242,41905256
243,53052095
244,36514852
245,59430816
246,47006974
247,55598358
248,45098590
249,581293
250,681892
251,633941
252,697987
253,750936
254,577991
255,640332
256,524517
257,614543
258,583769
259,625225
260,739758
261,602418
262,612186
263,579632
264,747804
265,452675
266,546827
267,544550
268,570353
269,530719
270,612893
271,572427
