EPOCH,AMOUNT
211,3765457415
212,3759379677
213,4394254202
214,3912823194
215,3710940939
216,3327378866
217,3153365281
218,3471254883
219,3687412566
220,3073129252
221,3700377186
222,3221162462
223,4888494374
224,2347293250
225,5488201489
226,3900920492
227,3228056896
228,3413693405
229,3391271605
230,5052198003
231,3726382289
232,3737892911
233,2985743995
234,3514103611
235,2787714101
236,4162025066
237,3298735532
238,3769460409
239,3479041601
240,3791513877
241,3313662038
242,3432106076
243,4342258654
244,2987028027
245,4861628815
246,3845321069
247,4548123789
248,3689209145
249,4049475582
250,4420904789
251,3891498619
252,4285050789
253,4610320032
254,3548537496
255,3931278544
256,3220241086
257,3772947755
258,3584010356
259,3838526574
260,4541693274
261,3698559615
262,3758526296
263,3558662024
264,4591156006
265,2779209294
266,3357256302
267,3343278787
268,3501693063
269,3258357941
270,3762872103
271,3514427459
