EPOCH,AMOUNT
231,8269019
232,8289013
233,6614484
234,7784998
235,6175790
236,9220383
237,7307886
238,8350711
239,7707329
240,8399567
241,7340954
242,7603350
243,9619665
244,6617342
245,10770257
246,8518770
247,10075731
248,8172926
249,8971045
250,9793895
251,8621070
252,9492930
253,10213518
254,7861288
255,8709197
256,7133993
257,8358437
258,7939873
259,8503718
260,10061485
261,8193526
262,8326372
263,7883607
264,10170921
265,6156863
266,7437427
267,7406462
268,7757402
269,7218335
270,8336000
271,7785613
