EPOCH,AMOUNT
212,9561601
213,13921872
214,19879074
215,18846344
216,17577284
217,17424271
218,19179658
219,20373397
220,16979409
221,20445030
222,18528613
223,28118681
224,13501269
225,31567290
226,22437495
227,18567287
228,20414952
229,20280265
230,30212096
231,22283731
232,22352565
233,17854721
234,21014307
235,16670504
236,24888871
237,19726408
238,22541338
239,24510754
240,26709590
241,33058584
242,34233380
243,43302215
244,29787485
245,48481540
246,38346631
247,45355179
248,36789838
249,8825442
250,9665435
251,8529735
252,840597
253,912281
254,707521
255,783823
256,642051
257,752249
258,714579
259,765324
260,905522
261,737408
262,749364
263,709515
264,915371
265,554110
266,669360
267,666573
268,698157
269,649641
270,750230
271,700696
