EPOCH,AMOUNT
215,14828799
216,13284440
217,12579876
218,13848066
219,14710403
220,12259808
221,14762123
222,12850365
223,19501946
224,9364189
225,21894392
226,15562162
227,12877869
228,13618439
229,13528991
230,20155018
231,14865867
232,14911787
233,11908156
234,14015435
235,11118350
236,16599569
237,13156477
238,15033887
239,13875599
240,15121844
241,8020914
242,8311281
243,10520379
244,7236936
245,11778692
246,9316395
247,11019136
248,8938169
249,9814822
250,10715061
251,10188269
252,11217967
253,12068731
254,9289235
255,10291162
256,8429833
257,9876689
258,9382095
259,10048359
260,11889084
261,9681823
262,9838799
263,9315609
264,12018398
265,7275214
266,8788384
267,8751794
268,9166480
269,8529495
270,9850176
271,9199815
