EPOCH,AMOUNT
211,107964156
212,107784154
213,133203704
214,114047643
215,81470313
216,92312136
217,108662480
218,98502968
219,112124855
220,87979287
221,86250537
222,136543549
223,128900211
224,82239951
225,103986166
226,115916768
227,111805105
228,82761137
229,100696805
230,146228419
231,107842839
232,108177842
233,86410012
234,101701195
235,80678855
236,120452602
237,95468257
238,109091441
239,100686470
240,109729688
241,95900243
242,99328115
243,125668718
244,86447172
245,140699739
246,111286914
247,131626632
248,106768900
249,117195322
250,127944805
251,112623333
252,124013077
253,133426650
254,102697745
255,113774602
256,93196563
257,109192372
258,103724360
259,111090280
260,131440532
261,107038018
262,108773483
263,102989320
264,132870172
265,80431598
266,97160545
267,96756030
268,101340612
269,94298381
270,108899254
271,101709155
