EPOCH,AMOUNT
212,34694
213,36012
214,32042
215,15445
216,13861
217,13146
218,14471
219,15372
220,12811
221,15426
222,6813
223,10346
224,4971
225,11623
226,8261
227,6836
228,7229
229,7182
230,10700
231,7892
232,7916
233,6323
234,7442
235,5904
236,8814
237,6986
238,7983
239,7368
240,8030
241,7018
242,7268
243,9196
244,6326
245,10296
246,8144
247,9632
248,7813
249,8576
250,9363
251,8241
252,9075
253,9764
254,7515
255,8326
256,6820
257,7990
258,7590
259,8129
260,9619
261,7833
262,7960
263,7536
264,9723
265,5886
266,7110
267,7080
268,7416
269,6900
270,7969
271,7443
