EPOCH,AMOUNT
212,62566360
213,73132409
214,65071076
215,61713766
216,55335081
217,52441194
218,57727772
219,61322524
220,51106850
221,61538129
222,53568677
223,81296793
224,39036030
225,91270061
226,64873210
227,53683333
228,56770511
229,56397631
230,84019222
231,61970600
232,62162024
233,49653613
234,58440356
235,46360330
236,69215440
237,54858735
238,62686999
239,57857267
240,63053753
241,55106966
242,57076718
243,72212766
244,49674967
245,80850012
246,63948579
247,75636351
248,61352402
249,65371272
250,71369214
251,62824064
252,66179228
253,71205523
254,54808365
255,60719927
256,45458422
257,53264131
258,50600449
259,54193804
260,64121380
261,52216963
262,53063585
263,50241864
264,64818809
265,39237402
266,40941928
267,40777144
268,42712874
269,39744721
270,45898669
271,42868199
