EPOCH,AMOUNT
211,13889757
212,13867338
213,16209219
214,14433349
215,13688660
216,12273803
217,883648
218,13873084
219,14736219
220,12274158
221,14779409
222,12865418
223,19524791
224,9375158
225,21920039
226,15580391
227,110133
228,131140
229,140621
230,209469
231,154492
232,1870475
233,2767244
234,3254655
235,2581022
236,3853439
237,3054157
238,3489981
239,3221095
240,4411735
241,3855134
242,3992377
243,5051108
244,3474644
245,5655263
246,4473048
247,5290580
248,4291452
249,4710530
250,5142593
251,4526764
252,4984562
253,5362929
254,3439125
255,3810699
256,3122028
257,2197045
258,2088078
259,2237286
260,892367
261,727683
262,740556
263,701174
264,904609
265,547596
266,661490
267,658736
268,689949
269,642004
270,741410
271,692458
