EPOCH,AMOUNT
215,732051
216,655811
217,621028
218,683635
219,726206
220,605228
221,728759
222,634382
223,962749
224,462280
225,1080857
226,768255
227,635739
228,672299
229,667883
230,994989
231,733881
232,736148
233,588018
234,692074
235,549017
236,819677
237,649659
238,742365
239,685169
240,746708
241,652599
242,675925
243,855173
244,588271
245,957458
246,757305
247,895716
248,726560
249,797511
250,870661
251,766399
252,843906
253,907965
254,698856
255,3168868
256,2593973
257,3037613
258,2885502
259,3090415
260,3656538
261,2977685
262,3025964
263,2865055
264,3696309
265,2237523
266,2702904
267,2691651
268,2819189
269,2623282
270,3029463
271,2829442
