EPOCH,AMOUNT
211,31293568
212,31243057
213,36519306
214,35823026
215,33972383
216,30458542
217,28865640
218,31775577
219,33754266
220,28131168
221,33872943
222,29486252
223,44748869
224,21486926
225,50238538
226,35708700
227,29549363
228,31248664
229,31043417
230,46247398
231,34110992
232,34216359
233,27331251
234,32167811
235,25518502
236,38098829
237,30196349
238,34505325
239,31846856
240,34707201
241,30332985
242,31417212
243,39748673
244,27343005
245,44502944
246,35199747
247,41633145
248,33770712
249,37068561
250,45397
251,65494
252,102933
253,110692
254,85179
255,94367
256,77299
257,90566
258,86031
259,92140
260,109019
261,88779
262,90219
263,85421
264,110205
265,48
266,113
267,183
268,192
269,178
270,206
271,192
