EPOCH,AMOUNT
212,7680842
213,8977964
214,7988329
215,7576175
216,6793108
217,6437845
218,7086842
219,7528145
220,6274037
221,7554613
222,6576259
223,9980249
224,4792185
225,21836864
226,15513954
227,12835073
228,13573192
229,13484043
230,20088057
231,14816477
232,14862245
233,11871624
234,13972436
235,11084237
236,16548638
237,13116110
238,14987760
239,13833026
240,13861620
241,12115397
242,8951184
243,18004434
244,12378297
245,20141668
246,15931129
247,18842672
248,16076715
249,17646021
250,19263723
251,16956881
252,18671753
253,20071028
254,15448568
255,17114846
256,14019339
257,16425551
258,15603011
259,16711049
260,19772290
261,14673489
262,14912473
263,14127544
264,17978718
265,10883337
266,11855705
267,11807479
268,12360826
269,6261206
270,7234557
271,6760685
