EPOCH,AMOUNT
218,817289
219,867607
220,722619
221,870112
222,1078
223,2336
224,1526
225,3568
226,2535
227,2098
228,2218
229,2204
230,3283
231,2422
232,2429
233,1940
234,2284
235,1811
236,2705
237,2144
238,2449
239,2261
240,2464
241,2153
242,2230
243,2822
244,1941
245,3159
246,2499
247,2956
248,2397
249,2631
250,2873
251,2529
252,2785
253,2996
254,2306
255,2555
256,2093
257,2452
258,2329
259,2494
260,2951
261,2403
262,2442
263,2312
264,2984
265,1806
266,2182
267,2172
268,2275
269,2117
270,2445
271,2284
