EPOCH,AMOUNT
212,22556143
213,26365368
214,23459132
215,22248770
216,19949155
217,22156428
218,25169413
219,20293083
221,18606401
222,18430334
223,38332315
224,18615550
225,43517237
226,31431765
227,26873887
228,28715997
229,28526458
230,42497442
231,31712865
232,31810578
233,20619244
234,24272179
235,19255952
236,28748911
237,22785795
238,26037296
239,24031248
240,26044379
241,22762049
242,13492356
243,17079829
244,11754851
245,19131955
246,15132475
247,1033983
248,50496799
249,55398434
250,60427081
251,53190953
252,2770483
253,3032324
254,2368826
255,2624256
256,2149587
257,2518532
258,2392412
259,2562308
260,3031688
261,2468842
262,2508871
263,70957352
264,47272506
265,37080173
266,7100647
267,670984
268,41074771
269,38200270
270,44087281
271,41176439
